мова,категория,артикуль,ціна,назва,опис,характеристики
ro,кухонные аксессуары,55-333-418,46,Set cuțite Luxus,Set cuțite Luxus 5 piese pe suport,"Lame din oțel de înaltă calitate X30Cr14 — rezistente la coroziune, rămân ascuțite mult timp
Mânere ergonomice din plastic ABS — rezistente, nu alunecă, plăcute la atingere
Ideal pentru utilizare zilnică în orice bucătărie"
no,кухонные аксессуары,55-333-418,46,Knivsett Luxus,Knivsett Luxus 5 deler på holder,"Blader av høykvalitets stål X30Cr14 — korrosjonsbestandig, holder seg skarpt lenge
Ergonomiske håndtak av ABS-plast — robuste, sklisikre, behagelige å holde
Ideal for daglig bruk i ethvert kjøkken"
uk,кухонные аксессуары,55-333-635,60,Набір із 5-ти ножів на підставці Prime Chef Krauff,"Ніж кухаря 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,5 см; Ніж для очищення овочів 9 см;","Нержавеющая сталь;
Прочные ручки;
Стильная деревянная подставка;
Простота в уходе."
ru,кухонные аксессуары,55-333-635,60,Набор из 5 ножей на подставке Prime Chef Krauff,"Нож повара 20,5 см; Нож сантоку 17,5 см; Нож сантоку 13,5 см; Универсальный нож 12,5 см; Нож для очистки овощей 9 см;","Нержавеющая сталь;
Прочные ручки;
Стильная деревянная подставка;
Простота в уходе."
de,кухонные аксессуары,55-333-635,60,Set aus 5 Messern auf Halter Prime Chef Krauff,"Kochmesser 20,5 cm; Santokumesser 17,5 cm; Santokumesser 13,5 cm; Universalmesser 12,5 cm; Gemüseschälmesser 9 cm;","Edelstahl;
Robuste Griffe;
Stilvoller Holzhalter;
Einfache Pflege."
ro,кухонные аксессуары,55-333-635,60,Set din 5 cuțite pe suport Prime Chef Krauff,"Cuțit de bucătar 20,5 cm; Cuțit santoku 17,5 cm; Cuțit santoku 13,5 cm; Cuțit universal 12,5 cm; Cuțit pentru curățat legume 9 cm;","Oțel inoxidabil;
Mânere rezistente;
Suport din lemn elegant;
Îngrijire ușoară."
no,кухонные аксессуары,55-333-635,60,Sett med 5 kniver på holder Prime Chef Krauff,"Kokniv 20,5 cm; Santokukniv 17,5 cm; Santokukniv 13,5 cm; Universalkniv 12,5 cm; Grønnsakskniv 9 cm;","Rustfritt stål;
Robuste håndtak;
Stilfullt treholder;
Enkel vedlikehold."
uk,кухонные аксессуары,55-333-562,46,Набір із 5-ти ножів Solvar Krauff,"Кухарський ніж 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,8 см; Ніж для овочів 9 см; Підставка для зберігання ножів;","Идеальная острота;
Сплошные лезвия;
Полный набор;
Стильный блок."
ru,кухонные аксессуары,55-333-562,46,Набор из 5 ножей Solvar Krauff,"Нож повара 20,5 см; Нож сантоку 17,5 см; Нож сантоку 13,5 см; Универсальный нож 12,8 см; Нож для овощей 9 см; Подставка для хранения ножей;","Идеальная острота;
Сплошные лезвия;
Полный набор;
Стильная подставка."
de,кухонные аксессуары,55-333-562,46,Set aus 5 Messern Solvar Krauff,"Kochmesser 20,5 cm; Santokumesser 17,5 cm; Santokumesser 13,5 cm; Universalmesser 12,8 cm; Gemüsemesser 9 cm; Messerblock;","Perfekte Schärfe;
Durchgehende Klingen;
Vollständiges Set;
Stilvoller Block."
ro,кухонные аксессуары,55-333-562,46,Set din 5 cuțite Solvar Krauff,"Cuțit de bucătar 20,5 cm; Cuțit santoku 17,5 cm; Cuțit santoku 13,5 cm; Cuțit universal 12,8 cm; Cuțit pentru legume 9 cm; Suport pentru cuțite;","Ascuțime perfectă;
Lame continue;
Set complet;
Bloc elegant."
no,кухонные аксессуары,55-333-562,46,Sett med 5 kniver Solvar Krauff,"Kokniv 20,5 cm; Santokukniv 17,5 cm; Santokukniv 13,5 cm; Universalkniv 12,8 cm; Grønnsakskniv 9 cm; Knivblokk;","Perfekt skarphet;
Hele blader;
Fullstendig sett;
Stilfullt blokk."
uk,кухонные аксессуары,28252,64,Набір ножів на підставці Prime Сhef,"Кухарський ніж 20,5 см; Ніж сантоку 17,5 см; Ніж сантоку 13,5 см; Універсальний ніж 12,8 см; Ніж для овочів 9 см; Підставка для зберігання ножів;","Высококачественная нержавеющая сталь
Эргономичные ручки из ABS-пластика
Оптимальный баланс
Современный дизайн"
ru,кухонные аксессуары,28252,64,Набор ножей на подставке Prime Chef,"Нож повара 20,5 см; Нож сантоку 17,5 см; Нож сантоку 13,5 см; Универсальный нож 12,8 см; Нож для овощей 9 см; Подставка для хранения ножей;","Высококачественная нержавеющая сталь
Эргономичные ручки из ABS-пластика
Оптимальный баланс
Современный дизайн"
de,кухонные аксессуары,28252,64,Messer-Set auf Halter Prime Chef,"Kochmesser 20,5 cm; Santokumesser 17,5 cm; Santokumesser 13,5 cm; Universalmesser 12,8 cm; Gemüsemesser 9 cm; Messerblock;","Hochwertiger Edelstahl
Ergonomische Griffe aus ABS-Kunststoff
Optimale Balance
Modernes Design"
ro,кухонные аксессуары,28252,64,Set cuțite pe suport Prime Chef,"Cuțit de bucătar 20,5 cm; Cuțit santoku 17,5 cm; Cuțit santoku 13,5 cm; Cuțit universal 12,8 cm; Cuțit pentru legume 9 cm; Suport pentru cuțite;","Oțel inoxidabil de înaltă calitate
Mânere ergonomice din plastic ABS
Echilibru optim
Design modern"
no,кухонные аксессуары,28252,64,Knivsett på holder Prime Chef,"Kokniv 20,5 cm; Santokukniv 17,5 cm; Santokukniv 13,5 cm; Universalkniv 12,8 cm; Grønnsakskniv 9 cm; Knivblokk;","Høykvalitets rustfritt stål
Ergonomiske håndtak av ABS-plast
Optimal balanse
Moderne design"
uk,кухонные аксессуары,55-333-676,29,Набір скляних контейнерів Locker + ПОДАРУНКИ: Термокружки Komfort 380 мл 2 шт,Контейнер із кришкою 1500 мл; Контейнер із кришкою 1040 мл; Контейнер із кришкою 640 мл; Контейнер із кришкою 380 мл; Термокружка Komfort 380 мл; Термокружка Komfort 380 мл,"-герметичные крышки с силиконовыми уплотнителями
-термостойкое стекло
-выдерживает подогрев в микроволновке (без использования крышки)
-универсальность хранения"
ru,кухонные аксессуары,55-333-676,29,Набор стеклянных контейнеров Locker + ПОДАРКИ: Термокружки Komfort 380 мл 2 шт,Контейнер с крышкой 1500 мл; Контейнер с крышкой 1040 мл; Контейнер с крышкой 640 мл; Контейнер с крышкой 380 мл; Термокружка Komfort 380 мл; Термокружка Komfort 380 мл,"-Герметичные крышки с силиконовыми уплотнителями
-Термостойкое стекло
-Выдерживает подогрев в микроволновке (без крышки)
-Универсальность хранения"
de,кухонные аксессуары,55-333-676,29,Glasbehälter-Set Locker + GESCHENKE: Thermobecher Komfort 380 ml 2 Stk,Behälter mit Deckel 1500 ml; Behälter mit Deckel 1040 ml; Behälter mit Deckel 640 ml; Behälter mit Deckel 380 ml; Thermobecher Komfort 380 ml; Thermobecher Komfort 380 ml,"-Luftdichte Deckel mit Silikon-Dichtungen
-Hitzebeständiges Glas
-Für die Mikrowelle geeignet (ohne Deckel)
-Universelle Aufbewahrungsmöglichkeiten"
ro,кухонные аксессуары,55-333-676,29,Set containere din sticlă Locker + CADOURI: Cupe termice Komfort 380 ml 2 buc,Container cu capac 1500 ml; Container cu capac 1040 ml; Container cu capac 640 ml; Container cu capac 380 ml; Cupă termică Komfort 380 ml; Cupă termică Komfort 380 ml,"-Capace etanșe cu garnituri din silicon
-Sticlă termorezistentă
-Rezistă la încălzire în microunde (fără capac)
-Versatilitate în depozitare"
no,кухонные аксессуары,55-333-676,29,Glass-beholder-sett Locker + GAVER: Termokopper Komfort 380 ml 2 stk,Beholder med lokk 1500 ml; Beholder med lokk 1040 ml; Beholder med lokk 640 ml; Beholder med lokk 380 ml; Termokopp Komfort 380 ml; Termokopp Komfort 380 ml,"-Lufttette lokk med silikontettinger
-Varmebestandig glass
-Tåler oppvarming i mikrobølgeovn (uten lokk)
-Allsidig oppbevaring"
uk,кухонные аксессуары,55-333-351,31,Набір скляних ємностей для зберігання та Термос 600мл,"Ємність для зберігання Prime Chef Krauff 1,7 л з кришкою висотою 30 см; Ємність для зберігання Prime Chef Krauff 0,84 л з кришкою висотою 17 см; Ємність для зберігання Prime Chef Krauff 0,58 л з кришкою висотою 13 см; Термос 600 мл","Крышки с инновационным механизмом открывания;
Счетчик дней на крышках;
Разнообразие объемов;"
ru,кухонные аксессуары,55-333-351,31,Набор стеклянных ёмкостей для хранения и Термос 600мл,"Ёмкость для хранения Prime Chef Krauff 1,7 л с крышкой высотой 30 см; Ёмкость для хранения Prime Chef Krauff 0,84 л с крышкой высотой 17 см; Ёмкость для хранения Prime Chef Krauff 0,58 л с крышкой высотой 13 см; Термос 600 мл","Крышки с инновационным механизмом открывания;
Счётчик дней на крышках;
Разнообразие объёмов;"
de,кухонные аксессуары,55-333-351,31,Set Glasbehälter zur Aufbewahrung und Thermosflasche 600ml,"Aufbewahrungsbehälter Prime Chef Krauff 1,7 l mit Deckel Höhe 30 cm; Aufbewahrungsbehälter Prime Chef Krauff 0,84 l mit Deckel Höhe 17 cm; Aufbewahrungsbehälter Prime Chef Krauff 0,58 l mit Deckel Höhe 13 cm; Thermosflasche 600 ml","Deckel mit innovativem Öffnungsmechanismus;
Tagesanzahl auf den Deckeln;
Verschiedene Größen;"
ro,кухонные аксессуары,55-333-351,31,Set recipiente din sticlă pentru depozitare și Termos 600ml,"Recipient pentru depozitare Prime Chef Krauff 1,7 l cu capac înălțime 30 cm; Recipient pentru depozitare Prime Chef Krauff 0,84 l cu capac înălțime 17 cm; Recipient pentru depozitare Prime Chef Krauff 0,58 l cu capac înălțime 13 cm; Termos 600 ml","Capace cu mecanism inovator de deschidere;
Numărător de zile pe capace;
Varietate de volume;"
no,кухонные аксессуары,55-333-351,31,Sett med glasbeholdere for oppbevaring og Termos 600ml,"Oppbevaringsbeholder Prime Chef Krauff 1,7 l med lokk høyde 30 cm; Oppbevaringsbeholder Prime Chef Krauff 0,84 l med lokk høyde 17 cm; Oppbevaringsbeholder Prime Chef Krauff 0,58 l med lokk høyde 13 cm; Termos 600 ml","Lokk med innovativ åpningsmekanisme;
Dagteller på lokkene;
Varierte størrelser;"
uk,кухонные аксессуары,55-333-524,29,Чайник Krauff Nebion 3 л,Тришарове феромагнітне дно Безпечне та контрольоване наливання,"Изысканные линии корпуса.
Точная геометрия ручки.
Трёхслойное ферромагнитное дно
Безопасный и контролируемый налив."
ru,кухонные аксессуары,55-333-524,29,Чайник Krauff Nebion 3 л,Трёхслойное ферромагнитное дно Безопасное и контролируемое наливание,"Изысканные линии корпуса.
Точная геометрия ручки.
Трёхслойное ферромагнитное дно
Безопасный и контролируемый налив."
de,кухонные аксессуары,55-333-524,29,Wasserkocher Krauff Nebion 3 l,Dreilagiger ferromagnetischer Boden Sicheres und kontrolliertes Einschenken,"Elegante Körperlinien.
Präzise Griffgeometrie.
Dreilagiger ferromagnetischer Boden
Sicheres und kontrolliertes Einschenken."
ro,кухонные аксессуары,55-333-524,29,Ceainic Krauff Nebion 3 l,Fund feromagnetic cu trei straturi Turnare sigură și controlată,"Linii elegante ale corpului.
Geometrie precisă a mânerului.
Fund feromagnetic cu trei straturi
Turnare sigură și controlată."
no,кухонные аксессуары,55-333-524,29,Kjele Krauff Nebion 3 l,Trelagets ferromagnetisk bunn Sikker og kontrollert helling,"Elegante kroppslinjer.
Presis håndtakgeometri.
Trelagets ferromagnetisk bunn
Sikker og kontrollert helling."
uk,набор посуды,кераміка_1,,Набори керамічного посуду 15 шт. Набір каструль та сковорідок з антипригарним покриттям (чорний 15),"Набір керамічного посуду з антипригарним покриттям — нетоксичний та корисніший за тефлонове покриття! Набір з фритюрницею 9""/11"", фритюрницею з кришкою 11""/4,5 кварти, кришкою тушкування 1,5 кварти, силіконовими лопатками, ложками, щипцями та 4 захисними чохлами.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
ru,набор посуды,кераміка_1,,Наборы керамической посуды 15 шт. Набор кастрюль и сковородок с антипригарным покрытием (чёрный 15),"Набор керамической посуды с антипригарным покрытием — нетоксичный и лучше тефлонового! Набор с фритюрницей 9""/11"", фритюрницей с крышкой 11""/4,5 кварты, крышкой тушения 1,5 кварты, силиконовыми лопатками, ложками, щипцами и 4 защитными чехлами.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
de,набор посуды,кераміка_1,,Keramik-Kochgeschirr-Sets 15-teilig. Topf- und Pfannen-Set mit Antihaftbeschichtung (schwarz 15),"Keramik-Kochgeschirr-Set mit Antihaftbeschichtung — ungiftig und besser als Teflon! Set mit 9""/11""-Frittierpfanne, 11""/4,5-Quart-Frittierpfanne mit Deckel, 1,5-Quart-Schmortopf-Deckel, Silikon-Pfannenwendern, Löffeln, Zangen und 4 Schutzabdeckungen.","Keramische Antihaftbeschichtung ist sicher und ungiftig
Kratzfest und sorgt für hervorragendes Gleiten der Speisen
Geschirr leicht zu reinigen
Geeignet für alle Herdarten
Nicht erhitzende Bakelit-Griffe"
ro,набор посуды,кераміка_1,,Seturi de veselă ceramică 15 buc. Set oale și tigăi cu acoperire antiaderentă (negru 15),"Set de veselă ceramică cu acoperire antiaderentă — netoxic și mai sănătos decât Teflon! Set cu friteuză 9""/11"", friteuză cu capac 11""/4,5 quarts, capac tigaie 1,5 quarts, spatule din silicon, linguri, clești și 4 huse de protecție.","Acoperirea ceramică antiaderentă este sigură și netoxică
Rezistentă la zgârieturi și asigură alunecare excelentă a alimentelor
Vasele se curăță ușor
Potrivit pentru toate tipurile de aragaze
Mânere din bachelită care nu se încălzesc"
no,набор посуды,кераміка_1,,Keramisk kokekar-sett 15 deler. Sett med kasseroller og stekepanner med non-stick belegg (sort 15),"Keramisk kokekar-sett med non-stick belegg — giftfritt og sunnere enn teflon! Sett med 9""/11"" frityrkurv, 11""/4,5 quarts frityrkurv med lokk, 1,5 quarts grytedeksel, silikonspader, skjeer, tang og 4 beskyttelseshylser.","Keramisk non-stick belegg er trygt og giftfritt
Mostandsdyktig mot riper og gir utmerket glidning for mat
Kokekar er lett å rengjøre
Passer til alle komfyrtyper
Bakelit-håndtak som ikke varmes opp"
uk,набор посуды,кераміка_2,,"Набір керамічних каструль і сковорідок Kikcoin з 16 предметів з антипригарним покриттям, включає сковороду-гриль 9,5 дюйма, набір індукційного кухонного посуду","Виготовлене з натуральних мінералів, воно не виділяє випарів при перегріванні.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
ru,набор посуды,кераміка_2,,"Набор керамических кастрюль и сковородок Kikcoin из 16 предметов с антипригарным покрытием, включает сковороду-гриль 9,5 дюйма, набор индукционной кухонной посуды","Изготовлено из натуральных минералов, не выделяет пары при перегреве.","Керамическое антипригарное покрытие безопасно и нетоксично
Устойчиво к царапинам и обеспечивает отличное скольжение продуктов
Посуда легко очищается
Подходит для всех типов плит
Ненагревающиеся бакелитовые ручки"
de,набор посуды,кераміка_2,,"Keramik-Topf- und Pfannen-Set Kikcoin 16-teilig mit Antihaftbeschichtung, inklusive 9,5-Zoll-Grillpfanne, Induktions-Kochgeschirr-Set","Aus natürlichen Mineralien hergestellt, gibt keine Dämpfe beim Überhitzen ab.","Keramische Antihaftbeschichtung ist sicher und ungiftig
Kratzfest und sorgt für hervorragendes Gleiten der Speisen
Geschirr leicht zu reinigen
Geeignet für alle Herdarten
Nicht erhitzende Bakelit-Griffe"
ro,набор посуды,кераміка_2,,"Set oale și tigăi ceramice Kikcoin din 16 piese cu acoperire antiaderentă, include tigaie grill 9,5 inci, set vase inducție","Fabricat din minerale naturale, nu emite vapori la supraîncălzire.","Acoperirea ceramică antiaderentă este sigură și netoxică
Rezistentă la zgârieturi și asigură alunecare excelentă a alimentelor
Vasele se curăță ușor
Potrivit pentru toate tipurile de aragaze
Mânere din bachelită care nu se încălzesc"
no,набор посуды,кераміка_2,,"Keramisk kasserolle- og stekepanne-sett Kikcoin 16 deler med non-stick belegg, inkluderer 9,5-tommers grillpanne, induksjonskokekar-sett","Laget av naturlige mineraler, avgir ingen damper ved overoppheting.","Keramisk non-stick belegg er trygt og giftfritt
Motstandsdyktig mot riper og gir utmerket glidning for mat
Kokekar er lett å rengjøre
Passer til alle komfyrtyper
Bakelit-håndtak som ikke varmes opp"
